Airfoil,Motor,Diameter,Battery,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Mass [kg],Flight Time [hr],Thrust to Weight,Sim Time [s]
NACA2412_DOE,3600,0.0761999999999999,1,0.008,0.004,10,4,1.2164,0.6257693170139781,1.1073997703312353,12.746562480926514
NACA2412_DOE,3600,0.0761999999999999,1,0.008,0.004,6,1,1.2164,1.1370511566598775,0.5604107344330419,12.82363224029541
NACA2412_DOE,3600,0.0761999999999999,1,0.018,0.009,10,4,1.2164,0.37528336925923456,1.4758520095845475,13.496952056884766
NACA2412_DOE,3600,0.0761999999999999,1,0.018,0.009,6,1,1.2164,0.6747639626975303,0.6450337115598561,12.879340171813965
NACA2412_DOE,3600,0.0761999999999999,2,0.008,0.004,10,4,1.3963999999999999,1.1686091067069218,1.0097665885335465,12.781954050064087
NACA2412_DOE,3600,0.0761999999999999,2,0.008,0.004,6,1,1.3963999999999999,2.191488551366837,0.5003649488872285,12.837294816970825
NACA2412_DOE,3600,0.0761999999999999,2,0.018,0.009,10,4,1.3963999999999999,0.6676232678850351,1.3899994101045579,12.870178937911987
NACA2412_DOE,3600,0.0761999999999999,2,0.018,0.009,6,1,1.3963999999999999,1.2666676674063493,0.5861315666481374,13.128133296966553
NACA2412_DOE,3600,0.1016,1,0.008,0.004,10,4,1.2164,0.2948648783323164,2.1914693144047037,19.293771505355835
NACA2412_DOE,3600,0.1016,1,0.008,0.004,6,1,1.2164,0.45604982937955,1.2489039566159756,16.966835021972656
NACA2412_DOE,3600,0.1016,1,0.018,0.009,10,4,1.2164,0.2044600491112411,2.70803257876686,19.424362421035767
NACA2412_DOE,3600,0.1016,1,0.018,0.009,6,1,1.2164,0.29948782759969966,1.3976919089863078,19.29236388206482
NACA2412_DOE,3600,0.1016,2,0.008,0.004,10,4,1.3963999999999999,0.5054036087627332,2.115818617152675,17.22882843017578
NACA2412_DOE,3600,0.1016,2,0.008,0.004,6,1,1.3963999999999999,0.8286679583521419,1.1597653000906463,17.07381248474121
NACA2412_DOE,3600,0.1016,2,0.018,0.009,10,4,1.3963999999999999,0.32168771588119144,2.7681509932102686,24.78844952583313
NACA2412_DOE,3600,0.1016,2,0.018,0.009,6,1,1.3963999999999999,0.5146729279564548,1.3470899211502416,23.04681658744812
NACA2412_DOE,3800,0.0761999999999999,1,0.008,0.004,10,4,1.1726,0.8636629837556037,0.7649829670116488,16.41161584854126
NACA2412_DOE,3800,0.0761999999999999,1,0.008,0.004,6,1,1.1726,1.6365413146375185,0.37645161369544705,16.78568434715271
NACA2412_DOE,3800,0.0761999999999999,1,0.018,0.009,10,4,1.1726,0.4843081128251448,1.0661915218659006,16.760113954544067
NACA2412_DOE,3800,0.0761999999999999,1,0.018,0.009,6,1,1.1726,0.9377380472322142,0.4435371538823083,17.194655895233154
NACA2412_DOE,3800,0.0761999999999999,2,0.008,0.004,10,4,1.3076,1.6440634080548107,0.7089744249386793,18.19648504257202
NACA2412_DOE,3800,0.0761999999999999,2,0.008,0.004,6,1,1.3076,3.190257862212392,0.34340366730867494,19.05835223197937
NACA2412_DOE,3800,0.0761999999999999,2,0.018,0.009,10,4,1.3076,0.8864860223642718,1.0142930143330022,18.493489027023315
NACA2412_DOE,3800,0.0761999999999999,2,0.018,0.009,6,1,1.3076,1.7922978659384183,0.4099578561844384,18.811277627944946
NACA2412_DOE,3800,0.1016,1,0.008,0.004,10,4,1.1726,0.3619305623998741,1.6369469946907815,26.44865870475769
NACA2412_DOE,3800,0.1016,1,0.008,0.004,6,1,1.1726,0.6058942366420638,0.8849255262643728,23.034522533416748
NACA2412_DOE,3800,0.1016,1,0.018,0.009,10,4,1.1726,0.2224074311893941,2.19243819716505,25.15273404121399
NACA2412_DOE,3800,0.1016,1,0.018,0.009,6,1,1.1726,0.3689770680080954,1.041434630529108,25.530157327651978
NACA2412_DOE,3800,0.1016,2,0.008,0.004,10,4,1.3076,0.6407260571413104,1.5923242392130301,23.408159255981445
NACA2412_DOE,3800,0.1016,2,0.008,0.004,6,1,1.3076,1.1301013848438368,0.8313577966820629,22.476924896240234
NACA2412_DOE,3800,0.1016,2,0.018,0.009,10,4,1.3076,0.36046614739580507,2.2619285085248033,25.845245599746704
NACA2412_DOE,3800,0.1016,2,0.018,0.009,6,1,1.3076,0.6547867452060805,1.0114086280283852,23.157582998275757
RG-15_8_DOE,2300,0.0761999999999999,1,0.008,0.004,10,4,1.3064,1.0482754286474927,0.967393504123444,16.126645803451538
RG-15_8_DOE,2300,0.0761999999999999,1,0.008,0.004,6,1,1.3064,2.161288053740851,0.3754996934351181,17.755303859710693
RG-15_8_DOE,2300,0.0761999999999999,1,0.018,0.009,10,4,1.3064,0.6388910522709865,1.2137972558326313,16.19757318496704
RG-15_8_DOE,2300,0.0761999999999999,1,0.018,0.009,6,1,1.3064,1.158683203848552,0.4138327670760889,16.41014051437378
RG-15_8_DOE,2300,0.0761999999999999,2,0.008,0.004,10,4,1.5764,2.013834355810374,0.823507103782727,17.200252294540405
RG-15_8_DOE,2300,0.0761999999999999,2,0.008,0.004,6,1,1.5764,4.240019350455459,0.31521185224505255,16.991079092025757
RG-15_8_DOE,2300,0.0761999999999999,2,0.018,0.009,10,4,1.5764,1.1946677783569175,1.0520321149974456,17.97152280807495
RG-15_8_DOE,2300,0.0761999999999999,2,0.018,0.009,6,1,1.5764,2.2346886602903493,0.3513606121699839,19.7360360622406
RG-15_8_DOE,2300,0.1016,1,0.008,0.004,10,4,1.3064,0.4439901189415199,2.0743674813475836,30.410479307174683
