Lambda,Motor,Battery,Diameter,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Airfoil,WeightedObj,ConstraintG,Flight Time [hr],Thrust to Weight
0.1,3800,1,0.103530756,0.018420077,0.008898964,9.9955121,3.999495157,8.316673086,-2.478797727,-4.302290279,0.232259037,5.802290279
0.1,3800,1,0.103530756,0.018420062,0.008898979,9.9955121,3.999495157,8.316673086,-2.47879824,-4.302291539,0.232258981,5.802291539
0.1,3800,1,0.103530756,0.018420062,0.008898964,9.995512115,3.999495157,8.316673086,-2.478797002,-4.302288512,0.232259089,5.802288512
0.1,3800,1,0.103530756,0.018420062,0.008898964,9.9955121,3.999495172,8.316673086,-2.478797006,-4.302288521,0.232259089,5.802288521
0.1,3800,1,0.11176,0.0198,0.0099,9.797897671,4.186985481,8.316673086,-2.948784371,-5.451999092,0.190973399,6.951999092
0.1,3800,1,0.111759985,0.0198,0.0099,9.797897671,4.186985481,8.316673086,-2.95048576,-5.456174183,0.190801477,6.956174183
0.1,3800,1,0.11176,0.019799985,0.0099,9.797897671,4.186985481,8.316673086,-2.950681864,-5.456655413,0.190781653,6.956655413
0.1,3800,1,0.11176,0.0198,0.009899985,9.797897671,4.186985481,8.316673086,-2.95068132,-5.456654087,0.190781691,6.956654087
0.1,3800,1,0.11176,0.0198,0.0099,9.797897686,4.186985481,8.316673086,-2.95068259,-5.456657169,0.190781622,6.956657169
0.1,3800,1,0.11176,0.0198,0.0099,9.797897671,4.186985496,8.316673086,-2.950682594,-5.456657179,0.190781622,6.956657179
0.1,3800,1,0.11176,0.0198,0.0099,9.797897671,4.186985481,8.316673086,-2.950682583,-5.456657153,0.190781622,6.956657153
0.1,3800,1,0.111759985,0.0198,0.0099,9.797897671,4.186985481,8.316673086,-2.950681978,-5.456655677,0.190781668,6.956655677
0.1,3800,1,0.11176,0.019799985,0.0099,9.797897671,4.186985481,8.316673086,-2.950681863,-5.45665541,0.190781653,6.95665541
0.1,3800,1,0.11176,0.0198,0.009899985,9.797897671,4.186985481,8.316673086,-2.95068132,-5.456654087,0.190781691,6.956654087
0.1,3800,1,0.11176,0.0198,0.0099,9.797897686,4.186985481,8.316673086,-2.95068259,-5.456657169,0.190781622,6.956657169
0.1,3800,1,0.11176,0.0198,0.0099,9.797897671,4.186985496,8.316673086,-2.950682594,-5.456657179,0.190781622,6.956657179
0.1,3800,1,0.101010899,0.0198,0.0099,9.595125158,4.4,8.316673086,-2.425299485,-4.173926124,0.232645239,5.673926124
0.1,3800,1,0.106386561,0.0198,0.0099,9.696532371,4.293470726,8.316673086,-2.665201639,-4.762133317,0.209257384,6.262133317
0.1,3800,1,0.109073882,0.0198,0.0099,9.747226373,4.240216178,8.316673086,-2.842324325,-5.192567189,0.198609724,6.692567189
0.1,3800,1,0.110417167,0.0198,0.0099,9.772566284,4.213596352,8.316673086,-2.890099569,-5.309519823,0.194271759,6.809519823
0.1,3800,1,0.111088708,0.0198,0.0099,9.785234327,4.200288449,8.316673086,-2.909655191,-5.357328735,0.192604149,6.857328735
0.1,3800,1,0.111424437,0.0198,0.0099,9.791567565,4.193635319,8.316673086,-2.914015434,-5.368130125,0.191988616,6.868130125
0.1,3800,1,0.111592292,0.0198,0.0099,9.79473401,4.190308939,8.316673086,-2.927763771,-5.401269868,0.191628021,6.901269868
0.1,3800,1,0.111676191,0.0198,0.0099,9.796316681,4.188646326,8.316673086,-2.948681498,-5.45177285,0.190938704,6.95177285
0.1,3800,1,0.111718096,0.0198,0.0099,9.79710718,4.187815899,8.316673086,-2.949823424,-5.454561954,0.190845866,6.954561954
0.1,3800,1,0.111739046,0.0198,0.0099,9.797502384,4.187400734,8.316673086,-2.94995806,-5.454885794,0.190843528,6.954885794
0.1,3800,1,0.11174952,0.0198,0.0099,9.79769998,4.187193157,8.316673086,-2.95032025,-5.455771301,0.190812577,6.955771301
0.1,3800,1,0.111749535,0.0198,0.0099,9.79769998,4.187193157,8.316673086,-2.950320851,-5.455772768,0.190812531,6.955772768
0.1,3800,1,0.11174952,0.019799985,0.0099,9.79769998,4.187193157,8.316673086,-2.950319526,-5.455769549,0.190812608,6.955769549
0.1,3800,1,0.11174952,0.0198,0.009899985,9.79769998,4.187193157,8.316673086,-2.950318983,-5.455768227,0.190812646,6.955768227
0.1,3800,1,0.11174952,0.0198,0.0099,9.797699995,4.187193157,8.316673086,-2.950320253,-5.455771308,0.190812577,6.955771308
0.1,3800,1,0.11174952,0.0198,0.0099,9.79769998,4.187193172,8.316673086,-2.950320257,-5.455771318,0.190812577,6.955771318
0.1,3800,1,0.11174952,0.0198,0.0099,9.79769998,4.187193157,8.316673086,-2.950320246,-5.455771292,0.190812577,6.955771292
0.1,3800,1,0.111749535,0.0198,0.0099,9.79769998,4.187193157,8.316673086,-2.950320851,-5.455772768,0.190812531,6.955772768
0.1,3800,1,0.11174952,0.019799985,0.0099,9.79769998,4.187193157,8.316673086,-2.950319526,-5.455769549,0.190812608,6.955769549
0.1,3800,1,0.11174952,0.0198,0.009899985,9.79769998,4.187193157,8.316673086,-2.950318983,-5.455768227,0.190812646,6.955768227
