Airfoil,Motor,Diameter,Battery,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Mass [kg],Flight Time [hr],Thrust to Weight,Sim Time [s],1.5,
SD7037_DOE,3800,0.0762,1,0.018,0.009,10,4,1.1726,0.472320853,1.080445361,12.76420522,0,
SD7037_DOE,3800,0.0762,1,0.018,0.009,6,1,1.1726,0.790105152,0.543936473,13.03873897,0,
SD7037_DOE,3800,0.0762,2,0.008,0.004,10,4,1.3076,1.544548588,0.752274838,12.73792291,0,
SD7037_DOE,3800,0.0762,2,0.008,0.004,6,1,1.3076,2.8514504,0.388427753,12.87482023,0,
SD7037_DOE,3800,0.0762,2,0.018,0.009,10,4,1.3076,0.862520251,1.029460444,12.70888543,0,
SD7037_DOE,3800,0.0762,2,0.018,0.009,6,1,1.3076,1.4968421,0.505726556,12.7296052,0,
SD7037_DOE,3800,0.1016,1,0.008,0.004,10,4,1.1726,0.343103756,1.74121108,19.34190416,0.343103756,
SD7037_DOE,3800,0.1016,1,0.008,0.004,6,1,1.1726,0.560229853,0.980732723,17.1516335,0,
SD7037_DOE,3800,0.1016,1,0.018,0.009,10,4,1.1726,0.219684386,2.202956635,19.11583948,0.219684386,
SD7037_DOE,3800,0.1016,1,0.018,0.009,6,1,1.1726,0.324476986,1.23942235,19.2765255,0,
SD7037_DOE,3800,0.1016,2,0.008,0.004,10,4,1.3076,0.603081354,1.701816689,17.16991854,0.603081354,
SD7037_DOE,3800,0.1016,2,0.008,0.004,6,1,1.3076,1.038447334,0.925195451,17.17726874,0,
SD7037_DOE,3800,0.1016,2,0.018,0.009,10,4,1.3076,0.354957564,2.277453021,19.15297556,0.354957564,
SD7037_DOE,3800,0.1016,2,0.018,0.009,6,1,1.3076,0.565739332,1.217940248,17.21782804,0,
SD7062_DOE,2300,0.0762,1,0.008,0.004,10,4,1.3064,0.828982424,1.126176418,12.95540953,0,
SD7062_DOE,2300,0.0762,1,0.008,0.004,6,1,1.3064,1.326191538,0.693854135,12.88382816,0,
SD7062_DOE,2300,0.0762,1,0.018,0.009,10,4,1.3064,0.651334016,1.720104934,13.09677172,0.651334016,
SD7062_DOE,2300,0.0762,1,0.018,0.009,6,1,1.3064,1.142126446,1.123197988,12.86846566,0,
SD7062_DOE,2300,0.0762,2,0.008,0.004,10,4,1.5764,1.575115207,0.965735443,13.02846909,0,
SD7062_DOE,2300,0.0762,2,0.008,0.004,6,1,1.5764,2.569745963,0.587275609,12.72646451,0,
SD7062_DOE,2300,0.0762,2,0.018,0.009,10,4,1.5764,1.219579579,1.489522593,12.81084871,0,
SD7062_DOE,2300,0.0762,2,0.018,0.009,6,1,1.5764,2.201570081,0.953982721,12.90630484,0,
SD7062_DOE,2300,0.1016,1,0.008,0.004,10,4,1.3064,0.363692636,2.341206568,17.11855507,0.363692636,
